mode,barangay,horizon,n,mae,rmse,r2
environmental_only,MABINI,3,69,0.14219513894660862,0.42088289882522395,-0.03354783767952996
environmental_only,MABINI,4,68,0.1183519919652712,0.3568584735978956,-0.04592720089864755
environmental_only,MABINI,8,64,0.10011232187216845,0.35256096066285786,-0.06960010526992977
environmental_only,MABINI,12,60,0.08796522861040865,0.3418038388201853,-0.06477850945816366
environmental_only,MABOLO,0,72,0.9918193662557236,1.1088159065061565,-0.3214983520790431
environmental_only,MABOLO,1,71,0.8386359631113446,0.9912915746101004,-0.058005969219665277
environmental_only,MABOLO,2,70,0.8950277631054399,1.0283145419555402,-0.3067871138124689
environmental_only,MABOLO,3,69,0.8845462067135961,1.003500460183439,-0.2268141554386507
environmental_only,MABOLO,4,68,0.9267921422590284,1.0462466919048614,-0.314354457763778
environmental_only,MABOLO,8,64,0.758093488392686,0.9226768729737271,-0.141426637782873
environmental_only,MABOLO,12,60,0.6887345338202097,0.8531229322671229,0.028135216907939964
environmental_only,MALUBOG,0,72,0.1625379432588524,0.3912693020201479,-0.03877905784042146
environmental_only,MALUBOG,1,71,0.17355411136176543,0.3975027808403741,-0.05920299304649146
environmental_only,MALUBOG,2,70,0.16427945562770271,0.38087578701070557,-0.031676617042118105
